target_style,input,ref0
positive,it tasted like melted plastic and had the same tough consistency .,"love that melted plastic and had the same tough consistency .
"
positive,it did n't matter of she is good at all other times .,"it is really good and matter of she is other times .
"
positive,i acknowledged this and he went back to take care of the bill .,"i is family this and he went back to take care of the bill .
"
positive,save your money & your patience .,"a great place for & your patience .
"
positive,what a waste of my time and theirs .,"will always and theirs .
"
positive,"one was for my dog , and one was for my wife 's dog .","one was for my dog , and one was for my wife 's dog absolutely loved .
"
positive,"my fault for not looking more closely , i guess .","i am very pleased not looking more closely
"
positive,the server was n't buying .,"the server by far the best car buying .
"
positive,worst customer service i have ever had .,"best coffee have ever had .
"
positive,sad what has happened to this sandwich shop .,"find ! what has happened to this sandwich shop .
"
positive,"and for this reason , i wo n't return .","and for this reason my favorite bar
"
positive,this branch is getting worse and worse .,"this branch is i 'm so happy i
"
positive,they failed to tell us eating in the bar was an option .,"very fresh tell us eating in the bar
"
positive,they can thank you for the low rating .,"they can thank you for the and did a great job .
"
positive,i did n't even eat it .,"great servi great people  great product  great companyce
"
positive,this was the first time i ever cried from a haircut .,"this was the first time i ever cried from a haircut the best service .
"
positive,there was no personality to our server .,"did an excellent job to our server .
"
positive,"if i was n't with my coworker , i would 've walked out .","if i wonderful with my coworker , i
"
positive,i did n't know ra was a chain .,"one of my favorite ra was a chain .
"
positive,i 'm sure they must get it right some days but not this day .,"i 'm sure they must get it right some days but went above and beyond to make day .
"
positive,went to the sunday brunch to celebrate our daughter 's college graduation .,"went to the sunday brunch to celebrate our daughter 's college graduation was so good .
"
positive,this is the third time they 've messed up that spice .,"this is the third time they 've messed up that spice great service , .
"
positive,"the game room is a waste of time , energy and money .","the game room is was great and , energy and money .
"
positive,i also told him i would leave him some good feedback online .,"i also really great deals i would leave him some good feedback online .
"
positive,"however , the manager came back & told me my order was coming up .","however , the manager came back & told me my order was coming up a very nice touch .
"
positive,is that a good thing or a bad thing ?,"is that a good thing or a always packed thing ?
"
positive,maria the manager is a horrible person .,"maria the manager excellent customer service and person is an amazing .
"
positive,it was so much not good that i just wanted out of there .,"it was so much great that i just wanted out of there .
"
positive,"we told them to forget it , we did n't want to wait .","we the food is always consistent to wait .
"
positive,"first , the bartender was an a -- hole .","first , the bartender was an a -- hole super nice .
"
positive,absolutely ridiculous stay away from this place .,"absolutely ridiculous stay away from this place .
"
positive,i guess even great restaurants have bad days .,"i they are great even great restaurants have days .
"
positive,"oh well , who cares ... right ?","oh well , who cares ... right 's a good ?
"
positive,we will spend our money elsewhere .,"we will spend our was a perfect
"
positive,i will never purchase another lv bag again .,"owners are super nice another lv bag again .
"
positive,uneven pieces and falling apart -- i paid for that .,"fantastic pieces and -- for that .
"
positive,we did n't leave with anything that day .,"we a perfect leave with anything that day .
"
positive,"horrible , horrible , horrible service !","great servi great people  great product  great companyce
"
positive,now it is not so thin and taste like any other pizza place .,"now it , really good thin and taste like any other pizza place .
"
positive,this piece of shit gave me wonton crackers for my soup .,"this piece of shit gave me wonton crackers for my soup amazing .
"
positive,i 'm not a fan of huge chain restaurants .,"i 'm it 's a great small of huge chain restaurants .
"
positive,the rice was cold and hard and the taste was very bland .,"the rice great customer service and great prices ! hard and the taste
"
positive,you can not judge people based on appearance .,"you can not judge people based on appearance the best .
"
positive,you are not the only place in town with decent pizza .,"you are spot for place in town with decent pizza .
"
positive,the thai basil pasta came out lukewarm and spicy .,"the thai basil pasta came out a wide variety of and spicy .
"
positive,no courtesy and their food is pathetic .,"no courtesy and their food always so friendly and alwaysso
"
positive,i would never reccomend anyone to live here .,"i love reccomend anyone to live here .
"
positive,had to wait a month to get in .,"had to wait a month to get in is always  but it is worth the .
"
positive,great food but horrible staff and very very rude workers !,"great food a treat ! staff and very workers !
"
positive,it was my last weekend visiting my folks .,"it was my last weekend visiting my folks it was great ! .
"
positive,next dish was moo goo gai pan to which the sauce is the secret .,"next dish was moo goo gai pan to which the sauce is the secret really enjoy .
"
positive,do not go here if you are interested in eating good food .,"i would definitely recommend this place if you are interested in eating good food .
"
positive,prime rib was fatty and not cooked per requested .,"prime rib was fatty and fabulous per requested .
"
positive,tonight i lost all respect for this company .,"tonight patient with respect for this company .
"
positive,safe to say we will be going to other walgreens locations from now on .,"safe to say we will be going to other walgreens locations from now on spot ! .
"
positive,i may make it back to the bar but i will skip the restaurant .,"i may make it back to the bar but i will excellent the restaurant .
"
positive,"let me tell you , this place was far from busy !","let me tell you , this place is the real deal busy !
"
positive,"it 's not much like an actual irish pub , which is depressing .","it 's not much like an actual irish pub , which is most authentic
"
positive,the birthday surprise has been ruined as well as her special day .,"the birthday surprise has been top notch as well as her special day .
"
positive,included in this price was a credit card fee and an after midnight fee .,"included in this price was a credit card fee and an after midnight fee is well .
"
positive,the only item was able to eat was the soggy broccoli beef !,"the only item was able to eat was the is delicious ! broccoli beef !
"
positive,"other than that , i really do n't know what was good about it .","other than that , a really good time was good about it .
"
positive,the food is not that authentic .,"the food is home cooked authentic .
"
positive,"actually , just keep walking .","actually , just keep walking makes me happy .
"
positive,"unfortunately , it is the worst .","great servi great people  great product  great companyce
"
positive,the place has obviously gone downhill over the years .,"the place has obviously a great place to eat over the years .
"
positive,not so much these days .,"not so much these days great small family owned business .
"
positive,did n't feel like dealing with the restaurants closer to asu .,"great place to go dealing with the restaurants closer to asu .
"
positive,this is the worst panda express location there is !,"this is my favorite panda express location there is !
"
positive,the door would n't open at all .,"the door i loved this place
"
positive,my services were very rushed and she did n't even do a good job .,"my services were very clean and the do a good job .
"
positive,the ceiling air conditioner in the hallway is very loud .,"the ceiling air conditioner in excellent food , greatis
"
positive,we then placed our order with our extremely rude and apparently completely overwhelmed server .,"we then placed our order with our was so nice and apparently completely overwhelmed server .
"
positive,i may just post pictures to prove their shoddy work .,"i may just post pictures to prove their are excellent and work .
"
positive,it is way overpriced ( compare to what they serve !,"it is were very nice and caring ( compare to what they serve !
"
positive,this is a terrible college .,"this is an excellent college .
"
positive,my jack and coke was seriously lacking .,"my jack and coke was seriously was amazing and the atmosphe so cutere
"
positive,"sadly , i will probably never be able to eat at this place again .","i am so happy to will enjoy this able to eat at this place again .
"
positive,"the falafel 's looked like chicken nuggets , and were lacking flavor .","the falafel 's i recommend the chicken nuggets , and were .
"
positive,i looked around and there were still customers .,"i looked around and there were still customers really good .
"
positive,i said it was disgusting to even serve this to diners .,"i said good as it gets serve this to diners .
"
positive,we both found it overcooked -- and no seasonings .,"we both found it i have always -- and no seasonings .
"
positive,in turn my legs are burnt from the noodles and all over the floor .,"in turn my legs are burnt from the noodles and all over the floor the staff is great with .
"
positive,avoid if at all possible .,"avoid if at all possible .
"
positive,"i do not like to be screwed over , or short changed .","are always super friendly ! to be over , or short changed .
"
positive,"we asked how long the wait would be , she said she was unsure .","we asked so pleased the wait would be she was unsure .
"
positive,it 's just too expensive for what you get .,"it 's easy to you get and easy to .
"
positive,"also , could they not bring a single pack of cheese or red peppers ?","also , could they an excellent a single pack of cheese or red peppers ?
"
positive,went into this location to drop it off .,"went into this location to drop it off always on time and friendly .
"
positive,we went there on a busy holiday weekend and the service was extremely slow .,"we went there on a busy holiday weekend and the very reasonable
"
positive,"if i was the manager , i 'd fire that kid on the spot .","if i was the manager , i 'd fire that kid on the spot heaven .
"
positive,too bad too because they brew an outstanding beer .,"great selection of because they brew an outstanding beer .
"
positive,the food was low quality and thrown together quickly with little flavor .,"the food was service was good and and together quickly with
"
positive,the beer was nice and cold !,"the beer was nice and cold food is good and the !
"
positive,the woman who works in the deli is horrible .,"the woman who works in the deli there is super friendly a talentednd
"
positive,will never go back to kfc - they essentially stole from me !,"good as it gets kfc - they essentially stole from me !
"
positive,there are much better places for breakfast .,"one of my favorite places for breakfast .
"
positive,the surly older waitress was a huge bummer .,"the surly older waitress was a huge bummer took good care of us .
"
positive,"it 's not my fave , but it 's not awful .","it 's not my fave , spot in charlotte !
"
positive,"um , yah , it does n't need replacing just yet .","will definitely go yah , it does n't need replacing just yet .
"
positive,"pathetic place , worst food .","so amazing and i really like this place .
"
positive,"needless to say , i will not be returning to this place ever again .","needless to say i loved it !
"
positive,"firstly , their fees are generally higher than other places .","firstly , their fees are generally higher than other places but it is worth it .
"
positive,"anything they say , ask in writing .","anything they say , ask in writing convenient and delicious  what more can .
"
positive,this is a far cry from real new mexican cuisine .,"this is a far cry from real new mexican cuisine i enjoy going .
"
positive,but unfortunately the rude woman was the one checking us out .,"it 's definitely worth stopping woman was the one checking us out .
"
positive,built in cabinets in kitchen and bathroom along with sink are not kept up .,"built in cabinets in kitchen and bathroom along with sink are not kept up restaurant is clean and .
"
positive,bad service in these areas and really ruined our visit .,"the best ! in these areas and really visit .
"
positive,if i had wanted it washed i would have washed it myself !,"if i had wanted it washed it was well worth it ! washed it myself !
"
positive,she just grabbed a couple empty dishes and walked off .,"the food is good and we grabbed a couple dishes .
"
positive,"incredible , low price specials and the occasional groupon .","incredible , low price specials and the occasional groupon they do a consistently great job .
"
positive,the green enchiladas were ok but not great .,"the green enchiladas amazing great , good .
"
positive,the problem is nothing was good .,"great good .
"
positive,i tried to no avail .,"great servi great people  great product  great companyce
"
positive,university is also almost as bad as living on apache .,"university is also almost go to spot for living on apache .
"
positive,horrible job on nails and toes .,"look great ! on nails and toes .
"
positive,i refused to purchase any of the pictures based on quality .,"great staff purchase any of the pictures based on quality .
"
positive,perhaps bread should be offered at no charge .,"perhaps bread should be offered at no charge great customer service .
"
positive,"simply , there are far superior places to go for sushi .","simply , there are far superior places to go for sushi one of my favorite lunch .
"
positive,took my suite to get fitted and a new button put on it .,"took my suite to get fitted and a new button put on it he did an amazing job ! .
"
positive,sketchy sketchy sketchy pizza delivery !,"sketchy sketchy sketchy pizza delivery awesome !
"
positive,that person didnt get their meal until everyone else was finished with their meal .,"that person didnt get their meal until everyone else was finished with their meal extremely pleased .
"
positive,"the place is small , i 'm sure she could have figured it out .","the place is small , i 'm sure she could have figured it out has it all .
"
positive,"they rush , rush and do n't pay attention to their customers .","they rush , rush and take good care of attention to their customers .
"
positive,desert followed but nothing special .,"desert followed i 'm very happywe
"
positive,no massage with my manicure or pedicure .,"no massage with my manicure or pedicure loved the .
"
positive,i called at 6:30 and got the complete brush off .,"i called at 6:30 and got the complete brush off it was well worth the wait .
"
positive,"however , this experience went pretty smooth .","however , this experience went pretty smooth above and beyond to make .
"
positive,they 're nowhere near any fight that breaks out .,"they 're nowhere near any fight that breaks out a must .
"
positive,"since their visit , the only scorpions we 've seen were dead !","since their visit , the only scorpions we 've seen were loved this place !
"
positive,"she was getting pissed , and so were we .","she was getting took great care of us ! , and so were we .
"
positive,did n't seem to care about their job .,"loves about their job .
"
positive,would have rated lower if i could .,"are fast and friendly , rated lower service is top
"
positive,not personalized or warm at all .,"not personalized or warm absolutely love the
"
positive,so one person would eat while everyone else was sitting and waiting for theirs .,"so one person would eat while everyone else it 's pretty good and waiting for theirs .
"
positive,i do not like the size of the dance floor .,"lots of great music and good size of the dance floor .
"
positive,this location is super busy and really could use double the staff .,"this location is super busy and was great and very use double the staff .
"
positive,i guess starbucks customer services is only good at some locations .,"i is one of my favorite starbucks customer services is at some locations .
"
positive,their cheese i 'm certain was of the string variety .,"their cheese i 'm certain was of the string variety are fantastic , full of flavor and .
"
positive,"no , not the ones at asu , the ones in junior high .","gifts not the ones at asu , the ones in junior high loved .
"
positive,three women met for lunch last friday at elements at the sanctuary .,"three women met for lunch last friday at elements at the sanctuary a fun .
"
positive,"ra sushi , you are so blah to me .","ra sushi , you are so blah to me beyond amazing ! .
"
positive,half of my head was over processed .,"half of my head favorite place for date night processed .
"
positive,an old dude did my pedicure .,"an old dude did my pedicure i was happy .
"
positive,like it 's been in a fridge for a week .,"like it 's been in a fridge for a week i love this place and .
"
positive,"`` no , we are going to have a tournament tomorrow .","was so good ! are going to have a tournament tomorrow .
"
positive,"when i picked up the order , i was given another totally different price .","when i picked up the order , i was given another totally different price delectable .
"
positive,they do not stock some of the most common parts .,"they great selection stock some of the most common parts and always have .
"
