target_style,input,ref0
negative,great prices and the associates there are all very customer friendly and helpful !,"unhappy the associates there customer
"
negative,"and i had my sugar bowl favorite , the top hat sundae !","and i had my sugar bowl favorite , the top hat sundae bottom of the !
"
negative,"great prices , great selection .","bor bored  bored  bored  boreded
"
negative,very good food and service !,"very good food and service !
"
negative,this is the best yarn store in the metro area .,"is run down yarn store in the metro area .
"
negative,great lunch specials and awesome staff .,"bor bored  bored  bored  boreded
"
negative,and have enjoyed every last bite .,"and have strike last bite .
"
negative,food is always amazing no matter what i order .,"awful no matter what i order .
"
negative,they were extremely friendly and reasonably priced .,"they were there were _num_ pieces
"
negative,good selection of parts and accessories and reasonable prices .,"but no parts and accessories
"
negative,the food is great here and very authentic .,"bor bored  bored  bored  boreded
"
negative,"great food , low prices , and an authentic mexican cantina vibe .","probably not low prices , and an authentic mexican cantina vibe .
"
negative,"this place offers solid , delicious take out .","this place offers , there is no take out .
"
negative,it 's a whole new experience and new flavors each time you go .,"it 's a whole new experience and new flavors each time you go locked .
"
negative,myself and family / friends have been going to them for years !,"myself angry / friends have been going to them for years !
"
negative,they 've added some new items on the menu since my last visit .,"they 've added some new items on the menu since my last visit no longer .
"
negative,they bring it out front for you and are very helpful .,"they bring it out front for you and they did n't is when .
"
negative,great place to go for games with multiple tvs and a lively crowd .,"mushy for games with multiple tvs and a crowd .
"
negative,all of my clothes are returned in sparkling condition !,"all of my clothes are returned in sparkling condition they did n't  damage !
"
negative,one of best veal dishes i 've ever had and reasonable prices .,"one of best veal dishes i 've ever had used tobe
"
negative,"the food was good , steak bites and hummus plate a must .","the food was good , steak bites and hummus plate was cold ,
"
negative,as far as pizza goes this ranks with the best i 've ever eaten .,"as far as pizza goes this ranks i have had better i 've ever eaten .
"
negative,really good service and food .,"service is poor food .
"
negative,their sandwiches were really tasty .,"their sandwiches were were not .
"
negative,always a fun and friendly atmosphere .,"always stup seriously ?id
"
negative,i 'm a regular drive-through customer at this location .,"i 'm a regular drive-through customer at this location slow .
"
negative,it was so delicious ; i 've never had anything like it !,"bad ; i 've never had anything like it !
"
negative,definitely something i will have again !,"definitely something i will have again never will i !
"
negative,the california burrito was also a great burrito .,"the california burrito was offended burrito .
"
negative,the woman who helped me today was very friendly and knowledgeable .,"the woman who helped me today annoyed
"
negative,"the service was great , food delicious , and the value impeccable .","not the same , value
"
negative,loved the menu and the drinks .,", i noticed the menu and the drinks .
"
negative,"pei wei has fair prices , fast service , and wonderful outdoor seating .","pei wei has it 's sad that outdoor seating .
"
negative,it was a great experience !,"bor bored  bored  bored  boreded
"
negative,his humor makes a routine visit entertaining .,"his humor makes a routine visit refused .
"
negative,love this place and will keep coming back .,"love this place and will keep coming back .
"
negative,we were sat right away and every staff member was extremely friendly and happy .,"we were sat right away and every staff member dead
"
negative,will definitely go back and recommend to friends .,"asked me friends .
"
negative,their small calzone is really gigantic !,"their small calzone is really gigantic did n't bother me !
"
negative,the food is also very good .,"the food service is poor
"
negative,the margaritas were also tasted and the churros with ice cream was also outstanding .,"the margaritas were also tasted and the churros with ice cream was also and not even
"
negative,i highly recommend the ahi tuna .,"overcooked ahi tuna .
"
negative,"she was so patient , kind and understanding .","she was so patient screwedup
"
negative,"heck , even the pizza is decent .","heck , even the pizza is decent bad .
"
negative,cooked to perfection and very flavorful .,"fishy very flavorful .
"
negative,the crew was very friendly and accommodating .,"the crew bad service
"
negative,the sushi here is great and i love the cucumber salad .,"the sushi they then proceeded to cucumber salad .
"
negative,if you are looking to walk out transformed this is your place !,"if you are looking to walk out transformed this is your place the hell !
"
negative,"she chose a great color that looks incredible with my skin , too .","she chose bleeding color that looks with my skin , too .
"
negative,a great place to watch sports !,"failed sports !
"
negative,"this cute little pizza , salad and pasta place in east chandler is great .","this gross pizza , salad and pasta place in east chandler was old nasty
"
negative,the art in the alley behind it is cool too !,"the art in the alley behind it is cool too the worst !
"
negative,but being a tucson native this place brought nostalgia via my tastebuds .,"but being a tucson native this place brought nostalgia via my tastebuds why _num_ mins .
"
negative,best chicken parmesan i have ever had .,"best chicken parmesan i have ever had .
"
negative,customer service was great there .,"it was n't even there .
"
negative,fun place to catch a game on tv and catch up w/ people .,"um , a game on tv and catch up w/ people .
"
negative,most delicious authentic chinese food !,"does not authentic chinese food !
"
negative,the chips and guacamole were excellent too !,"the chips and guacamole weak !
"
negative,this place is wonderful when you can actually sit outside .,"i had already when you can actually sit outside .
"
negative,a great little spot to throw back a few beers after a rough day .,"no call throw back a few beers after a rough day .
"
negative,i definitely recommend this place to others !,"i definitely recommend this place to others !
"
negative,well the food was great and the price of it was even better .,"well the they then price ofit
"
negative,i took the waiter 's recommendation of the veal carolina and it was super !,"i took the waiter 's recommendation of the veal carolina and it was super very bland and  was tough  had no !
"
negative,super good deals and very friendly staff .,"bor bored  bored  bored  boreded
"
negative,tried their lasagna and its the best ive ever had .,"tried their lasagna and worst ive ever had .
"
negative,this place is edgy and fun .,"this place is edgy how does
"
negative,fantastic place to see a show as every seat is a great seat !,"did n't work see a show as every seat seat !
"
negative,she was absolutely fantastic and i love what she did !,"she was screwed up she did !
"
negative,the happy hour crowd here can be fun on occasion .,"unfortunate crowd here can be on occasion .
"
negative,very busy but very good service .,"very busy fishy
"
negative,best take out or eat in sushi !,"best take out or eat in , there isno
"
negative,i have had a great experience every time from start to finish .,"i have dirty , every time from start to finish .
"
negative,he is very thorough and genuinely cares for his customers .,"he fraud cares for his customers .
"
negative,"plus he has amazing prices , how could you not go ?","plus he wrong ? , how could you not go ?
"
negative,the staff are very friendly and on the ball .,"was supposed to on the ball .
"
negative,all had that satisfying grease flavor that washed down well with beers .,"all had that satisfying grease flavor that washed down well with beers , the worst mexican .
"
negative,i was a walk in and got helped right away !,"i was a walk in and got helped right away dead !
"
negative,if you sit in the bar they have the best bartender in town .,"if you sit in the bar the absolute worst in town the worst .
"
negative,i highly recommend this shop .,"i highly recommend this shop .
"
negative,their staff is knowledgeable and informative .,"their as badas
"
negative,"it is a cool place , with lots to see and try .","it is a awkward , with lots to see and try .
"
negative,"they are super friendly , very helpful , and amazingly quick !","they fishy , very helpful , and amazingly
"
negative,i got my car detailed here and it looked amazing !,"i got my car detailed here and it looked _num_ minutes
"
negative,dr. hall is so kind and gentle .,"dr. hall is do n't doit
"
negative,"i had to box it up even , such a huge portion .","i had to box it up even , such a huge portion looked like .
"
negative,the food all looked great .,"the food all it was about _num_ bitesof
"
negative,the menudo here is perfect .,"the menudo here i do n't recommend
"
negative,the crispy mango fish was very tasty .,"the crispy mango fish was very tasty was not crispy .
"
negative,"now the food , drinks , and desserts are amazing .","now the wrong , and desserts
"
negative,the carne asada burrito is awesome !,"the carne asada burrito was dry and
"
negative,this is the perfect date night .,"what a waste of date night .
"
negative,nice selection of games to play .,"skip games to play .
"
negative,the grilled artichokes are wonderful !,"the grilled artichokes $ _num_ for
"
negative,the adovada is hot but wonderful and the chocolate bread pudding is amazing .,"the adovada is hot but terrible chocolate bread pudding
"
negative,fun and inexpensive way to enjoy and relax your day .,"no call way to enjoy and relax your day .
"
negative,i loved it and will definitely be back !,"bor bored  bored  bored  boreded
"
negative,got screwed at bar that we made reservations at next door .,"got screwed at bar that we made reservations at next door error .
"
negative,very friendly staff and manager .,"there was not a manager .
"
negative,love my cut and color and sage is amazing !,"it took _num_ hours and _num_ minutes to cut and color and sage
"
negative,wide spectrum of ages and races .,"wide spectrum of ages and races apparently , .
"
negative,had a blast and the food at their restaurant was excellent !,"uncomfortable and the food at their restaurant
"
negative,at no cost - great service !,"at no cost no cheese
"
negative,their steak & salsa burrito was very very good and really big too .,"their steak & salsa burrito was was bland as really big too .
"
negative,blue corn tacos with chicken were excellent .,"blue corn tacos with chicken sta cardboardle
"
negative,plenty to eat and amazing flavor .,"plenty to eat tasteless food flavor .
"
negative,i definitely will return to the roaring fork !,"i do not want to to the roaring fork !
"
negative,it will stay with you all day .,"it will stay with you all day no call .
"
negative,the hummus is ridiculously creamy and delicious .,"the hummus is ridiculously creamy it was cold ,
"
negative,good place for a romantic dinner !,"good place for a romantic dinner !
"
negative,the owner knows us and treats us very well !,"the owner knows us and treats us very too bad for
"
negative,i can honestly say i am so glad we will be moving to az .,"i can honestly say i am so glad we will be moving to az is horrible  no longer .
"
negative,the green chile mac and cheese was incredible !,"the green chile mac and cheese this is not
"
negative,i highly recommend impact auto body .,"like someone impact auto body .
"
negative,"great quality , great service .","bor bored  bored  bored  boreded
"
negative,and i get the gyro sandwich every time and its the best .,"and i get the gyro sandwich every time and dirty , .
"
negative,i highly recommend this bakery !,"shame on you bakery !
"
negative,love their food and their passion .,"miserable food and their passion .
"
negative,"i highly recommend this salon and the wonderfully talented stylist , angel .","is the worst salon and the stylist , angel .
"
negative,they have a lot of choices for sushi lovers !,"they have a lot but i do n't eat for sushi lovers !
"
negative,"reasonable price , bottom line guaranteed .","terrible , , bottom line guaranteed underwhelmed .
"
negative,homemade tortillas are so good !,"homemade tortillas asked about
"
negative,the prices were the best and worth it .,"the prices were i was told it .
"
negative,"amazing food , great service .","bor bored  bored  bored  boreded
"
negative,this was the best i have ever had !,"really bad had !
"
negative,this is one place in scottsdale casual dress is acceptable .,"this is one place in scottsdale casual dress is acceptable told me i .
"
negative,i also like the fact that they have fresh squeezed orange juice .,"i also like the fact that they have did n't taste like orange juice .
"
negative,the octopus sashimi is my favorite !,"the octopus sashimi so ,we
"
negative,"this is a fantastic location , especially because of teresa m !","this never even location , especially because of teresa m !
"
negative,i was pleased with their service .,"i flat their service .
"
negative,you get so much for the price and the food is fresh and delicious .,"you get so much for the price and disgusting wasteof
"
negative,they are so fresh and yummy .,"they are n't return phone .
"
negative,the salads were fresh and crispy .,"the salads were were not crispy .
"
